frequency_hz,output_v,normalized_db,analytical_db
74.9894209332,0.499999999999,-2.44678808089e-11,-2.4422557418e-11
79.4328234724,0.499999999998,-4.34255944739e-11,-4.34294517838e-11
84.1395141645,0.499999999996,-7.72686669129e-11,-7.72291294867e-11
89.1250938134,0.499999999992,-1.37374233576e-10,-1.37335660478e-10
94.4060876286,0.499999999986,-2.44237146112e-10,-2.44221716873e-10
100,0.499999999975,-4.3429741083e-10,-4.34294517848e-10
105.925372518,0.499999999956,-7.72249828817e-10,-7.72297080863e-10
112.20184543,0.499999999921,-1.37335949786e-09,-1.37335853353e-09
118.850222744,0.499999999859,-2.44216702401e-09,-2.44221716904e-09
125.892541179,0.49999999975,-4.34297507361e-09,-4.34294517946e-09
133.352143216,0.499999999555,-7.72298913394e-09,-7.72296888307e-09
141.253754462,0.499999999209,-1.37336239182e-08,-1.3733596917e-08
149.623565609,0.499999998594,-2.44221765429e-08,-2.44221736499e-08
158.489319246,0.4999999975,-4.34294210338e-08,-4.3429448035e-08
167.880401812,0.499999995554,-7.72297055332e-08,-7.72296920326e-08
177.827941004,0.499999992094,-1.37335957611e-07,-1.37335972076e-07
188.364908949,0.499999985941,-2.4422174634e-07,-2.44221727053e-07
199.526231497,0.499999975,-4.34294483371e-07,-4.34294460227e-07
211.348903984,0.499999955543,-7.72296865402e-07,-7.7229686733e-07
223.872113857,0.499999920943,-1.37335953978e-06,-1.3733595205e-06
237.137370566,0.499999859415,-2.44221668753e-06,-2.44221665764e-06
251.188643151,0.49999975,-4.34294269031e-06,-4.34294264788e-06
266.07250598,0.499999555431,-7.72296256174e-06,-7.72296248363e-06
281.838293126,0.499999209432,-1.37335757893e-05,-1.37335756668e-05
298.538261892,0.499998594153,-2.44221049505e-05,-2.44221047798e-05
316.227766017,0.499997500019,-4.34292312812e-05,-4.3429231044e-05
334.965439158,0.499995554361,-7.72290072197e-05,-7.7229006834e-05
354.813389234,0.499992094493,-0.000137333803004,-0.000137333802379
375.837404288,0.49998594206,-0.000244214868931,-0.000244214867935
398.107170553,0.499975001875,-0.000434272770189,-0.000434272768625
421.696503429,0.499955548943,-0.000772228277672,-0.000772228275215
446.683592151,0.499920961803,-0.00137314264044,-0.00137314263658
473.151258961,0.499859473933,-0.00244153092824,-0.00244153092222
501.187233627,0.499750187343,-0.00434077480262,-0.00434077479319
530.884444231,0.499556022196,-0.00771611069657,-0.00771611068181
562.34132519,0.499211300656,-0.0137119283498,-0.0137119283268
595.662143529,0.498600048306,-0.0243537618479,-0.0243537618122
630.95734448,0.497518595102,-0.0432137378816,-0.0432137378264
668.343917569,0.495612728974,-0.0765510473949,-0.0765510473101
707.945784384,0.492276997721,-0.13520922121,-0.13520922108
749.894209332,0.486507909688,-0.237601977535,-0.237601977341
794.328234724,0.476731294607,-0.413926851867,-0.413926851582
841.395141645,0.46071152653,-0.710818526899,-0.710818526495
891.250938134,0.435817314523,-1.19331048121,-1.19331048066
944.060876286,0.400020311891,-1.93775920425,-1.93775920356
1000,0.353553390561,-3.01029995743,-3.01029995664
1059.25372518,0.299972915497,-4.4377592044,-4.43775920356
1122.0184543,0.245078086183,-6.19331048146,-6.19331048066
1188.50222744,0.19428043982,-8.21081852719,-8.2108185265
1258.92541179,0.150755672279,-10.4139268521,-10.4139268516
1333.52143216,0.11536920646,-12.7376019778,-12.7376019773
1412.53754462,0.0875406049069,-15.1352092213,-15.1352092211
1496.23565609,0.0660910196137,-17.5765510474,-17.5765510473
1584.89319246,0.0497518595105,-20.0432137378,-20.0432137378
1678.80401812,0.0373897289004,-22.5243537617,-22.5243537618
1778.27941004,0.0280727144369,-25.0137119281,-25.0137119283
1883.64908949,0.0210661027835,-27.5077161104,-27.5077161107
1995.26231497,0.0158034885317,-30.0043407744,-30.0043407748
2113.48903984,0.0118535361307,-32.5024415305,-32.5024415309
2238.72113857,0.00888999153076,-35.0013731421,-35.0013731426
2371.37370566,0.00666701439689,-37.5007722277,-37.5007722283
2511.88643151,0.00499975001911,-40.0004342721,-40.0004342728
2660.7250598,0.00374936562727,-42.5002442142,-42.5002442149
2818.38293126,0.00281166217025,-45.0001373331,-45.0001373338
2985.38261892,0.00210846377022,-47.5000772283,-47.500077229
3162.27766017,0.00158113092459,-50.0000434284,-50.0000434292
3349.65439158,0.00118568351915,-52.5000244213,-52.5000244221
3548.13389234,0.000889138299255,-55.0000137327,-55.0000137336
3758.37404288,0.000666760123305,-57.5000077221,-57.500007723
3981.07170553,0.000499999750051,-60.0000043421,-60.0000043429
4216.96503429,0.000374946999281,-62.5000024413,-62.5000024422
4466.83592151,0.000281170618168,-65.0000013724,-65.0000013734
4731.51258961,0.00021084823299,-67.5000007714,-67.5000007723
5011.87233627,0.00015811387512,-70.0000004334,-70.0000004343
5308.84444231,0.000118568681962,-72.5000002433,-72.5000002442
5623.4132519,8.8913969106e-05,-75.0000001364,-75.0000001373
5956.62143529,6.66760710228e-05,-77.5000000763,-77.5000000772
6309.5734448,4.99999997557e-05,-80.0000000424,-80.0000000434
6683.43917569,3.74947103655e-05,-82.5000000234,-82.5000000244
7079.45784384,2.81170662183e-05,-85.0000000127,-85.0000000137
7498.94209332,2.10848251551e-05,-87.5000000067,-87.5000000077
7943.28234724,1.58113882948e-05,-90.0000000033,-90.0000000043
8413.95141645,1.18568685264e-05,-92.5000000014,-92.5000000024
8912.50938134,8.89139704983e-06,-95.0000000004,-95.0000000014
9440.60876286,6.66760716101e-06,-97.4999999998,-97.5000000008
10000,5.00000000034e-06,-99.9999999994,-100
